=====PROGRAM SYMULACYJNY: WOJNY====
Autorzy: Kamil Gawlik, Sebastian Dorabia³a

Parametry przed rozpoczêciem symulacji: 

Data i czas uruchomienia symulacji: Wed Jun  9 14:49:49 2021

Rozmiar mapy:[40 x 40]

1:[2,2,1000,1,0]    <---- gdzie: [pozycja X armii, pozycja Y armii, liczba ¿o³nierzy, przynale¿noœæ armii, liczba przejêtych prowincji]
2:[38,38,1000,2,0]    <---- gdzie: [pozycja X armii, pozycja Y armii, liczba ¿o³nierzy, przynale¿noœæ armii, liczba przejêtych prowincji]


=========================================SYMULACJA

 Tura nr 1	         1:[2,3,1000,1,1]	         2:[38,39,1000,2,1]	
 Tura nr 2	         1:[2,2,1000,1,2]	         2:[38,38,1000,2,2]	
 Tura nr 3	         1:[1,2,1000,1,3]	         2:[39,38,1000,2,3]	

=============================== 2 zebra³a zasób - zwiêkszenie liczebnoœci o 15%


 Tura nr 4	         1:[2,2,1000,1,3]	         2:[39,39,1150,2,4]	
 Tura nr 5	         1:[3,2,1000,1,4]	         2:[39,38,1150,2,4]	
 Tura nr 6	         1:[4,2,1000,1,5]	         2:[39,39,1150,2,4]	
 Tura nr 7	         1:[4,3,1000,1,6]	         2:[38,39,1150,2,4]	
 Tura nr 8	         1:[3,3,1000,1,7]	         2:[38,39,1150,2,4]	
 Tura nr 9	         1:[3,2,1000,1,7]	         2:[38,39,1150,2,4]	
 Tura nr 10	         1:[3,3,1000,1,7]	         2:[39,39,1150,2,4]	
 Tura nr 11	         1:[3,2,1000,1,7]	         2:[39,38,1150,2,4]	
 Tura nr 12	         1:[3,1,1000,1,8]	         2:[39,37,1150,2,5]	
 Tura nr 13	         1:[2,1,1000,1,9]	         2:[39,38,1150,2,5]	
 Tura nr 14	         1:[2,0,1000,1,10]	         2:[39,39,1150,2,5]	
 Tura nr 15	         1:[2,1,1000,1,10]	         2:[39,39,1150,2,5]	
 Tura nr 16	         1:[3,1,1000,1,10]	         2:[39,38,1150,2,5]	
 Tura nr 17	         1:[3,2,1000,1,10]	         2:[39,39,1150,2,5]	
 Tura nr 18	         1:[4,2,1000,1,10]	         2:[39,39,1150,2,5]	
 Tura nr 19	         1:[4,1,1000,1,11]	         2:[38,39,1150,2,5]	
 Tura nr 20	         1:[4,2,1000,1,11]	         2:[38,39,1150,2,5]	
 Tura nr 21	         1:[4,3,1000,1,11]	         2:[38,38,1150,2,5]	
 Tura nr 22	         1:[4,2,1000,1,11]	         2:[37,38,1150,2,6]	
 Tura nr 23	         1:[4,3,1000,1,11]	         2:[37,39,1150,2,7]	
 Tura nr 24	         1:[4,4,1000,1,12]	         2:[37,38,1150,2,7]	
 Tura nr 25	         1:[4,5,1000,1,13]	         2:[38,38,1150,2,7]	
 Tura nr 26	         1:[3,5,1000,1,14]	         2:[38,37,1150,2,8]	
 Tura nr 27	         1:[2,5,1000,1,15]	         2:[37,37,1150,2,9]	
